1,Slingshot,Workouts/pulleasy/slingshot_ckqt9y,"passing the kettlebell from one hand to the other, swinging it round the the front then the back of the body."
2,Halo,Workouts/pulleasy/halo_bybprr,holding the kettlebell at the side handles and rotate it round the head. like a halo
3,Body Weight Sit Up,Workouts/pulleasy/situps_djyj6v,"Lying on your back, with your knees up, using your core muscle to pull yourself up to your knees"
4,leg raises,Workouts/pulleasy/legraises_nnpqpy,"Lying on your back with your legs in the air, hold the kettlebell high over your chest. Then raise your leg towards the sky and the lower back down."
5,Pullovers,Workouts/pulleasy/pullovers_twqov8,"Grab the kettlebell handle with both hands and lie on your back. then keeping your arms straight above your chest, take the kettlebell over your head. Hold the tension and then return back to your chest."
6,Skull Crushers,Workouts/pulleasy/skullcrushers_ulvkmu,"Grab the kettlebell handle with both hands and lie on your back. then keeping your arms straight above your chest, take the kettlebell over your head bending at the elbows, hold the tension and then return to your chest."
7,Tricep Extensions,Workouts/pulleasy/tricepextensions_uwsyyw,"Grab the kettlebell with both hands and hold it high over your head. Then bending your elbows to lower the kettlebell behind your head, then returning back above your head."
8,Tricep Kickbacks ,Workouts/pulleasy/tricepkickbacks_nkartv,"Grab the kettlebell with one hand  and keep your feet hip width apart. hinge at the hips holding the kettlebell at your side with your elbow at 90o, then swinging the kettlebell back then forward."
9,Bicep Curls ,Workouts/pulleasy/bicepcurls_ea7clj,"Hold the kettlebell with both hands, pull the kettlebell up from your thighs to your chest."
10,Gorilla Curls,Workouts/pulleasy/gorillacurls_wrdil9,"Stand shoulder width apart, bending at the hips, then pull the kettlebell into the chest, like how a gorilla bangs his chest, place back on the mat and switch sides."
11,Russian Twist,Workouts/pulleasy/russiantwists_cgn7rz,"Lie on your back with your knees up, hold yourself up and keep the kettlebell in your chest, then move the kettlebell from side to side "
12,Pull Across,Workouts/pulleasy/pullacross_hisc1t,"Hold in a plank position with the kettlebell,just behind one hand then take your opposite hand to grab the kettlebell and pull it across to the other side."
13,Single Arm Curls ,Workouts/pulleasy/singlearmcurls_weu1de,"Hold the kettlebell with one hand, curl the kettlebell up your chest and then slowly lowering back down, Switching between reps."
14,Upright Row,Workouts/pulleasy/uprightrow_lm2d0t,Stand hip width apart and grab the kettlebell with both hands with the back of the hand facing away. pull the kettlebell up to your chin and lower back down.
15,Regular Row ,Workouts/pulleasy/regularrow_iz7s9p,"legs shoulder width apart and lean forward keeping a flat back. lifting the kettlebell into the chest with one hand from between the legs, switch between reps"
